,Name,Full Path,Complexity,Amount of changes,Complexity Trend
.deepsource.toml,.deepsource.toml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/.deepsource.toml,23.0,0,
README.md,README.md,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/README.md,101.0,0,
Rakefile,Rakefile,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/Rakefile,6.0,0,
yarn.lock,yarn.lock,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/yarn.lock,11869.0,2,
.dockerignore,.dockerignore,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/.dockerignore,21.0,0,
babel.config.js,babel.config.js,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/babel.config.js,70.0,0,
.gitignore,.gitignore,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/.gitignore,68.0,0,
package.json,package.json,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/package.json,166.0,2,
Procfile.dev,Procfile.dev,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/Procfile.dev,4.0,0,
CONTRIBUTING.md,CONTRIBUTING.md,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/CONTRIBUTING.md,47.0,0,
.prettierrc.js,.prettierrc.js,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/.prettierrc.js,3.0,0,
.nvmrc,.nvmrc,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/.nvmrc,1.0,0,
.gitattributes,.gitattributes,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/.gitattributes,14.0,0,
Vagrantfile,Vagrantfile,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/Vagrantfile,137.0,0,
.profile,.profile,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/.profile,1.0,0,
.sass-lint.yml,.sass-lint.yml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/.sass-lint.yml,37.0,0,
.eslintrc.js,.eslintrc.js,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/.eslintrc.js,214.0,1,
Gemfile,Gemfile,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/Gemfile,155.0,5,
.rubocop.yml,.rubocop.yml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/.rubocop.yml,306.0,2,
