,Name,Full Path,Complexity,Amount of changes,Complexity Trend
app/controllers/api/v1/accounts/credentials_controller.rb,credentials_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/api/v1/accounts/credentials_controller.rb,38.0,0,
app/controllers/api/v1/trends/statuses_controller.rb,statuses_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/api/v1/trends/statuses_controller.rb,53.0,3,
app/controllers/api/v1/trends/tags_controller.rb,tags_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/api/v1/trends/tags_controller.rb,49.0,5,
app/controllers/api/v1/trends/links_controller.rb,links_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/api/v1/trends/links_controller.rb,53.0,4,
app/controllers/api/v1/instances/peers_controller.rb,peers_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/api/v1/instances/peers_controller.rb,19.0,0,
app/controllers/api/v1/instances/activity_controller.rb,activity_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/api/v1/instances/activity_controller.rb,37.0,0,
app/controllers/api/v1/instances/rules_controller.rb,rules_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/api/v1/instances/rules_controller.rb,17.0,0,
app/controllers/api/v1/statuses/reblogged_by_accounts_controller.rb,reblogged_by_accounts_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/api/v1/statuses/reblogged_by_accounts_controller.rb,73.0,0,
app/controllers/api/v1/statuses/favourited_by_accounts_controller.rb,favourited_by_accounts_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/api/v1/statuses/favourited_by_accounts_controller.rb,77.0,0,
app/controllers/api/v1/statuses/reblogs_controller.rb,reblogs_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/api/v1/statuses/reblogs_controller.rb,48.0,0,
app/controllers/api/v1/statuses/bookmarks_controller.rb,bookmarks_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/api/v1/statuses/bookmarks_controller.rb,40.0,0,
app/controllers/api/v1/statuses/pins_controller.rb,pins_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/api/v1/statuses/pins_controller.rb,52.0,0,
app/controllers/api/v1/statuses/histories_controller.rb,histories_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/api/v1/statuses/histories_controller.rb,21.0,2,
app/controllers/api/v1/statuses/mutes_controller.rb,mutes_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/api/v1/statuses/mutes_controller.rb,38.0,0,
app/controllers/api/v1/statuses/favourites_controller.rb,favourites_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/api/v1/statuses/favourites_controller.rb,39.0,0,
app/controllers/api/v1/statuses/sources_controller.rb,sources_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/api/v1/statuses/sources_controller.rb,21.0,1,
app/controllers/api/v1/apps/credentials_controller.rb,credentials_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/api/v1/apps/credentials_controller.rb,9.0,0,
app/controllers/api/web/settings_controller.rb,settings_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/api/web/settings_controller.rb,17.0,0,
app/controllers/api/web/base_controller.rb,base_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/api/web/base_controller.rb,9.0,0,
app/controllers/api/web/push_subscriptions_controller.rb,push_subscriptions_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/api/web/push_subscriptions_controller.rb,57.0,2,
app/controllers/api/web/embeds_controller.rb,embeds_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/api/web/embeds_controller.rb,25.0,1,
app/controllers/api/v2/suggestions_controller.rb,suggestions_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/api/v2/suggestions_controller.rb,19.0,0,
app/controllers/api/v2/search_controller.rb,search_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/api/v2/search_controller.rb,34.0,1,
app/controllers/api/v2/media_controller.rb,media_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/api/v2/media_controller.rb,12.0,0,
app/controllers/api/v2/admin/accounts_controller.rb,accounts_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/api/v2/admin/accounts_controller.rb,31.0,1,
app/controllers/well_known/webfinger_controller.rb,webfinger_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/well_known/webfinger_controller.rb,54.0,0,
app/controllers/well_known/host_meta_controller.rb,host_meta_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/well_known/host_meta_controller.rb,15.0,0,
app/controllers/well_known/nodeinfo_controller.rb,nodeinfo_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/well_known/nodeinfo_controller.rb,19.0,0,
app/controllers/activitypub/base_controller.rb,base_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/activitypub/base_controller.rb,17.0,2,
app/controllers/activitypub/inboxes_controller.rb,inboxes_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/activitypub/inboxes_controller.rb,76.0,0,
app/controllers/activitypub/outboxes_controller.rb,outboxes_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/activitypub/outboxes_controller.rb,87.0,1,
app/controllers/activitypub/collections_controller.rb,collections_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/activitypub/collections_controller.rb,74.0,1,
app/controllers/activitypub/followers_synchronizations_controller.rb,followers_synchronizations_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/activitypub/followers_synchronizations_controller.rb,36.0,0,
app/controllers/activitypub/replies_controller.rb,replies_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/activitypub/replies_controller.rb,94.0,1,
app/controllers/activitypub/claims_controller.rb,claims_controller.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/activitypub/claims_controller.rb,21.0,0,
app/controllers/concerns/account_controller_concern.rb,account_controller_concern.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/concerns/account_controller_concern.rb,49.0,0,
app/controllers/concerns/status_controller_concern.rb,status_controller_concern.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/concerns/status_controller_concern.rb,87.0,0,
app/controllers/concerns/session_tracking_concern.rb,session_tracking_concern.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/concerns/session_tracking_concern.rb,22.0,1,
app/controllers/concerns/cache_concern.rb,cache_concern.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/concerns/cache_concern.rb,56.0,0,
app/controllers/concerns/signature_authentication.rb,signature_authentication.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/concerns/signature_authentication.rb,11.0,0,
app/controllers/concerns/account_owned_concern.rb,account_owned_concern.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/concerns/account_owned_concern.rb,57.0,1,
app/controllers/concerns/authorization.rb,authorization.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/concerns/authorization.rb,23.0,1,
app/controllers/concerns/two_factor_authentication_concern.rb,two_factor_authentication_concern.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/concerns/two_factor_authentication_concern.rb,92.0,1,
app/controllers/concerns/rate_limit_headers.rb,rate_limit_headers.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/concerns/rate_limit_headers.rb,72.0,0,
app/controllers/concerns/signature_verification.rb,signature_verification.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/concerns/signature_verification.rb,242.0,0,
app/controllers/concerns/challengable_concern.rb,challengable_concern.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/concerns/challengable_concern.rb,64.0,0,
app/controllers/concerns/user_tracking_concern.rb,user_tracking_concern.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/concerns/user_tracking_concern.rb,21.0,2,
app/controllers/concerns/localized.rb,localized.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/concerns/localized.rb,34.0,3,
app/controllers/concerns/registration_spam_concern.rb,registration_spam_concern.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/concerns/registration_spam_concern.rb,9.0,0,
app/controllers/concerns/accountable_concern.rb,accountable_concern.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/concerns/accountable_concern.rb,9.0,1,
app/controllers/concerns/access_token_tracking_concern.rb,access_token_tracking_concern.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/concerns/access_token_tracking_concern.rb,21.0,1,
app/controllers/concerns/export_controller_concern.rb,export_controller_concern.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/controllers/concerns/export_controller_concern.rb,32.0,0,
app/views/filters/_fields.html.haml,_fields.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/filters/_fields.html.haml,16.0,0,
app/views/filters/index.html.haml,index.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/filters/index.html.haml,24.0,0,
app/views/filters/edit.html.haml,edit.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/filters/edit.html.haml,8.0,0,
app/views/filters/new.html.haml,new.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/filters/new.html.haml,8.0,0,
app/views/settings/migrations/show.html.haml,show.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/settings/migrations/show.html.haml,89.0,1,
app/views/settings/preferences/appearance/show.html.haml,show.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/settings/preferences/appearance/show.html.haml,65.0,1,
app/views/settings/preferences/other/show.html.haml,show.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/settings/preferences/other/show.html.haml,37.0,3,
app/views/settings/preferences/notifications/show.html.haml,show.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/settings/preferences/notifications/show.html.haml,41.0,2,
app/views/settings/two_factor_authentication_methods/index.html.haml,index.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/settings/two_factor_authentication_methods/index.html.haml,41.0,0,
app/views/settings/deletes/show.html.haml,show.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/settings/deletes/show.html.haml,29.0,0,
app/views/settings/shared/_links.html.haml,_links.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/settings/shared/_links.html.haml,10.0,0,
app/views/settings/imports/show.html.haml,show.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/settings/imports/show.html.haml,15.0,0,
app/views/settings/exports/show.html.haml,show.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/settings/exports/show.html.haml,69.0,0,
app/views/settings/featured_tags/index.html.haml,index.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/settings/featured_tags/index.html.haml,31.0,0,
app/views/settings/applications/show.html.haml,show.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/settings/applications/show.html.haml,31.0,0,
app/views/settings/applications/_fields.html.haml,_fields.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/settings/applications/_fields.html.haml,18.0,0,
app/views/settings/applications/index.html.haml,index.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/settings/applications/index.html.haml,25.0,0,
app/views/settings/applications/new.html.haml,new.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/settings/applications/new.html.haml,8.0,0,
app/views/settings/login_activities/index.html.haml,index.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/settings/login_activities/index.html.haml,15.0,0,
app/views/settings/login_activities/_login_activity.html.haml,_login_activity.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/settings/login_activities/_login_activity.html.haml,17.0,0,
app/views/settings/profiles/show.html.haml,show.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/settings/profiles/show.html.haml,77.0,1,
app/views/settings/aliases/index.html.haml,index.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/settings/aliases/index.html.haml,33.0,1,
app/views/settings/migration/redirects/new.html.haml,new.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/settings/migration/redirects/new.html.haml,27.0,0,
app/views/settings/two_factor_authentication/recovery_codes/index.html.haml,index.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/settings/two_factor_authentication/recovery_codes/index.html.haml,9.0,0,
app/views/settings/two_factor_authentication/webauthn_credentials/index.html.haml,index.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/settings/two_factor_authentication/webauthn_credentials/index.html.haml,17.0,0,
app/views/settings/two_factor_authentication/webauthn_credentials/new.html.haml,new.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/settings/two_factor_authentication/webauthn_credentials/new.html.haml,16.0,0,
app/views/settings/two_factor_authentication/otp_authentication/show.html.haml,show.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/settings/two_factor_authentication/otp_authentication/show.html.haml,9.0,0,
app/views/settings/two_factor_authentication/confirmations/new.html.haml,new.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/settings/two_factor_authentication/confirmations/new.html.haml,18.0,0,
app/views/home/index.html.haml,index.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/home/index.html.haml,16.0,0,
app/views/oauth/authorizations/show.html.haml,show.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/oauth/authorizations/show.html.haml,7.0,0,
app/views/oauth/authorizations/error.html.haml,error.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/oauth/authorizations/error.html.haml,3.0,0,
app/views/oauth/authorizations/new.html.haml,new.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/oauth/authorizations/new.html.haml,38.0,1,
app/views/oauth/authorized_applications/index.html.haml,index.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/oauth/authorized_applications/index.html.haml,44.0,2,
app/views/following_accounts/index.html.haml,index.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/following_accounts/index.html.haml,20.0,1,
app/views/auth/passwords/edit.html.haml,edit.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/auth/passwords/edit.html.haml,20.0,0,
app/views/auth/passwords/new.html.haml,new.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/auth/passwords/new.html.haml,13.0,0,
app/views/auth/challenges/new.html.haml,new.html.haml,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/views/auth/challenges/new.html.haml,15.0,0,
